3.233072s 33.07ms | mys [39 64]ms | c 19 | 000.000ms | 01pkts | hdr [16 16.14 41]ms 1/4 | Rq 00ms | s# 0102000019 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
3.314556s 14.56ms | mys [40 65]ms | c 20 | 000.000ms | 01pkts | hdr [50 71.15 75]ms 3/4 | Rq 00ms | s# 0302000018 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.336071s 36.07ms | mys [40 65]ms | c 20 | 000.000ms | 01pkts | hdr [17 19.15 42]ms 1/4 | Rq 00ms | s# 0102000020 | [#01]->[#02] | T 4 | 0054B | D 18ms | Bw 0.0Bps | pms# 0
3.373443s 73.44ms | mys [41 66]ms | c 21 | 000.000ms | 01pkts | hdr [89 89.01 14]ms 4/4 | Rq 00ms | s# 0402000017 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.439078s 39.08ms | mys [41 66]ms | c 21 | 000.000ms | 01pkts | hdr [17 22.16 42]ms 1/4 | Rq 00ms | s# 0102000021 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
3.474652s 74.65ms | mys [42 67]ms | c 22 | 000.000ms | 01pkts | hdr [90 90.01 15]ms 4/4 | Rq 00ms | s# 0402000018 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.493575s 93.57ms | mys [42 67]ms | c 22 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000019 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.542090s 42.09ms | mys [42 67]ms | c 22 | 000.000ms | 01pkts | hdr [18 25.17 43]ms 1/4 | Rq 00ms | s# 0102000022 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
3.575395s 75.39ms | mys [42 67]ms | c 23 | 000.000ms | 01pkts | hdr [91 91.03 16]ms 4/4 | Rq 00ms | s# 0402000019 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.645101s 45.10ms | mys [43 68]ms | c 23 | 000.000ms | 01pkts | hdr [19 28.18 44]ms 1/4 | Rq 00ms | s# 0102000023 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
3.676824s 76.82ms | mys [43 68]ms | c 24 | 000.000ms | 01pkts | hdr [92 92.18 17]ms 4/4 | Rq 00ms | s# 0402000020 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.693874s 93.87ms | mys [43 68]ms | c 24 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000021 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.748110s 48.11ms | mys [44 69]ms | c 24 | 000.000ms | 01pkts | hdr [20 31.19 45]ms 1/4 | Rq 00ms | s# 0102000024 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
3.777520s 77.52ms | mys [44 69]ms | c 25 | 000.000ms | 01pkts | hdr [93 93.01 18]ms 4/4 | Rq 00ms | s# 0402000021 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.793862s 93.86ms | mys [44 69]ms | c 25 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000022 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.851120s 51.12ms | mys [45 70]ms | c 25 | 000.000ms | 01pkts | hdr [21 34.20 46]ms 1/4 | Rq 00ms | s# 0102000025 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
3.878584s 78.58ms | mys [45 70]ms | c 26 | 000.000ms | 01pkts | hdr [94 94.01 19]ms 4/4 | Rq 00ms | s# 0402000022 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.893856s 93.86ms | mys [45 70]ms | c 26 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000023 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.954126s 54.13ms | mys [46 71]ms | c 26 | 000.000ms | 01pkts | hdr [22 37.21 47]ms 1/4 | Rq 00ms | s# 0102000026 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
