3.139005s 39.00ms | mys [39 64]ms | c 18 | 014.467ms | 02pkts | hdr [39 39.00 64]ms 2/4 | Rq 00ms | s# 0201000017 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.139010s 39.01ms | mys [39 64]ms | c 18 | 013.469ms | 01pkts | hdr [39 39.01 64]ms 2/4 | Rq 00ms | s# 0203000017 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.139012s 39.01ms | mys [39 64]ms | c 18 | 012.468ms | 00pkts | hdr [39 39.01 64]ms 2/4 | Rq 00ms | s# 0204000017 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.240005s 40.00ms | mys [40 65]ms | c 19 | 012.453ms | 02pkts | hdr [40 40.00 65]ms 2/4 | Rq 00ms | s# 0201000018 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.240010s 40.01ms | mys [40 65]ms | c 19 | 011.455ms | 01pkts | hdr [40 40.01 65]ms 2/4 | Rq 00ms | s# 0203000018 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.240012s 40.01ms | mys [40 65]ms | c 19 | 010.455ms | 00pkts | hdr [40 40.01 65]ms 2/4 | Rq 00ms | s# 0204000018 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.341005s 41.00ms | mys [41 66]ms | c 20 | 010.444ms | 02pkts | hdr [41 41.00 66]ms 2/4 | Rq 00ms | s# 0201000019 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.341009s 41.01ms | mys [41 66]ms | c 20 | 009.446ms | 01pkts | hdr [41 41.01 66]ms 2/4 | Rq 00ms | s# 0203000019 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.341012s 41.01ms | mys [41 66]ms | c 20 | 008.445ms | 00pkts | hdr [41 41.01 66]ms 2/4 | Rq 00ms | s# 0204000019 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.442003s 42.00ms | mys [42 67]ms | c 21 | 008.431ms | 02pkts | hdr [42 42.00 67]ms 2/4 | Rq 00ms | s# 0201000020 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.442007s 42.01ms | mys [42 67]ms | c 21 | 007.434ms | 01pkts | hdr [42 42.00 67]ms 2/4 | Rq 00ms | s# 0203000020 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.442009s 42.01ms | mys [42 67]ms | c 21 | 006.435ms | 00pkts | hdr [42 42.01 67]ms 2/4 | Rq 00ms | s# 0204000020 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.542012s 42.01ms | mys [42 67]ms | c 22 | 005.433ms | 02pkts | hdr [42 42.01 67]ms 2/4 | Rq 00ms | s# 0201000021 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.542015s 42.01ms | mys [42 67]ms | c 22 | 004.432ms | 01pkts | hdr [42 42.01 67]ms 2/4 | Rq 00ms | s# 0203000021 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.542018s 42.02ms | mys [42 67]ms | c 22 | 003.433ms | 00pkts | hdr [42 42.02 67]ms 2/4 | Rq 00ms | s# 0204000021 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.643005s 43.00ms | mys [43 68]ms | c 23 | 003.415ms | 02pkts | hdr [43 43.00 68]ms 2/4 | Rq 00ms | s# 0201000022 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.643010s 43.01ms | mys [43 68]ms | c 23 | 002.418ms | 01pkts | hdr [43 43.01 68]ms 2/4 | Rq 00ms | s# 0203000022 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.643012s 43.01ms | mys [43 68]ms | c 23 | 001.418ms | 00pkts | hdr [43 43.01 68]ms 2/4 | Rq 00ms | s# 0204000022 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.744006s 44.01ms | mys [44 69]ms | c 24 | 001.408ms | 01pkts | hdr [44 44.00 69]ms 2/4 | Rq 00ms | s# 0201000023 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.744010s 44.01ms | mys [44 69]ms | c 24 | 000.410ms | 00pkts | hdr [44 44.01 69]ms 2/4 | Rq 00ms | s# 0203000023 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.744604s 44.60ms | mys [44 69]ms | c 24 | 000.003ms | 00pkts | hdr [44 44.60 69]ms 2/4 | Rq 00ms | s# 0204000023 | [#02]->[#04] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.845607s 45.61ms | mys [45 70]ms | c 25 | 000.003ms | 00pkts | hdr [45 45.60 70]ms 2/4 | Rq 00ms | s# 0201000024 | [#02]->[#01] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
3.846610s 46.61ms | mys [45 70]ms | c 25 | 000.002ms | 00pkts | hdr [45 46.61 70]ms 2/4 | Rq 00ms | s# 0203000024 | [#02]->[#03] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
