1624906373.037267s 117.26ms | mys [80 00]ms | c 18 | 000.000ms | 01pkts | hdr [00 0.61 40]ms 1/3 | Rq 00ms | s# 0103000027 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.063086s 23.08ms | mys [80 00]ms | c 19 | 000.000ms | 01pkts | hdr [40 40.73 80]ms 2/3 | Rq 00ms | s# 0203000023 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.157266s 117.26ms | mys [80 00]ms | c 19 | 000.000ms | 01pkts | hdr [00 0.57 40]ms 1/3 | Rq 00ms | s# 0103000028 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.182775s 22.77ms | mys [80 00]ms | c 20 | 000.000ms | 01pkts | hdr [40 40.49 80]ms 2/3 | Rq 00ms | s# 0203000024 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.277328s 117.32ms | mys [80 00]ms | c 20 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000029 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.304535s 24.53ms | mys [80 00]ms | c 21 | 000.000ms | 01pkts | hdr [40 40.70 80]ms 2/3 | Rq 00ms | s# 0203000025 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.397359s 117.36ms | mys [80 00]ms | c 21 | 000.000ms | 01pkts | hdr [00 0.56 40]ms 1/3 | Rq 00ms | s# 0103000030 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.422771s 22.77ms | mys [80 00]ms | c 22 | 000.000ms | 01pkts | hdr [40 40.49 80]ms 2/3 | Rq 00ms | s# 0203000026 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.517323s 117.32ms | mys [80 00]ms | c 22 | 000.000ms | 01pkts | hdr [00 0.57 40]ms 1/3 | Rq 00ms | s# 0103000031 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.542769s 22.76ms | mys [80 00]ms | c 23 | 000.000ms | 01pkts | hdr [40 40.55 80]ms 2/3 | Rq 00ms | s# 0203000027 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.637721s 117.72ms | mys [80 00]ms | c 23 | 000.000ms | 01pkts | hdr [00 0.82 40]ms 1/3 | Rq 00ms | s# 0103000032 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.662909s 22.91ms | mys [80 00]ms | c 24 | 000.000ms | 01pkts | hdr [40 40.63 80]ms 2/3 | Rq 00ms | s# 0203000028 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.782777s 22.77ms | mys [80 00]ms | c 25 | 000.000ms | 01pkts | hdr [40 40.53 80]ms 2/3 | Rq 00ms | s# 0203000029 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.877352s 117.35ms | mys [80 00]ms | c 25 | 000.000ms | 01pkts | hdr [00 0.50 40]ms 1/3 | Rq 00ms | s# 0103000034 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.902810s 22.81ms | mys [80 00]ms | c 26 | 000.000ms | 01pkts | hdr [40 40.58 80]ms 2/3 | Rq 00ms | s# 0203000030 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906373.997721s 117.72ms | mys [80 00]ms | c 26 | 000.000ms | 01pkts | hdr [00 0.54 40]ms 1/3 | Rq 00ms | s# 0103000035 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906374.022845s 22.84ms | mys [80 00]ms | c 27 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000031 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906374.117438s 117.44ms | mys [80 00]ms | c 27 | 000.000ms | 01pkts | hdr [00 0.62 40]ms 1/3 | Rq 00ms | s# 0103000036 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906374.237400s 117.40ms | mys [80 00]ms | c 28 | 000.000ms | 01pkts | hdr [00 0.68 40]ms 1/3 | Rq 00ms | s# 0103000037 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
