eventid init_us end_us type
<id137> #2->#2. Wnd[3300000-3450100]us. Type ISENSOR
<id143> #3->#1. Wnd[3495444-3495577]us. Type 80211
<id143> #3->#1. Wnd[3495444-3495577]us. Type 80211
<id144> #3->#2. Wnd[3496447-3496580]us. Type 80211
<id144> #3->#2. Wnd[3496447-3496580]us. Type 80211
<id135> #3->#3. Wnd[3300000-3525000]us. Type ESENSOR
<id138> #3->#3. Wnd[3300000-3525100]us. Type ISENSOR
<id145> #2->#1. Wnd[3528403-3528536]us. Type 80211
<id145> #2->#1. Wnd[3528403-3528536]us. Type 80211
<id146> #2->#3. Wnd[3529404-3529537]us. Type 80211
<id146> #2->#3. Wnd[3529404-3529537]us. Type 80211
<id153> #3->#1. Wnd[3615444-3615577]us. Type 80211
<id153> #3->#1. Wnd[3615444-3615577]us. Type 80211
<id154> #3->#2. Wnd[3616447-3616580]us. Type 80211
<id154> #3->#2. Wnd[3616447-3616580]us. Type 80211
<id155> #2->#1. Wnd[3648408-3648541]us. Type 80211
<id155> #2->#1. Wnd[3648408-3648541]us. Type 80211
<id156> #2->#3. Wnd[3649408-3649541]us. Type 80211
<id156> #2->#3. Wnd[3649408-3649541]us. Type 80211
<id147> #1->#1. Wnd[3600000-3675000]us. Type ESENSOR
<id150> #1->#1. Wnd[3600000-3675100]us. Type ISENSOR
<id157> #3->#1. Wnd[3735440-3735573]us. Type 80211
<id157> #3->#1. Wnd[3735440-3735573]us. Type 80211
<id158> #3->#2. Wnd[3736438-3736571]us. Type 80211
<id158> #3->#2. Wnd[3736438-3736571]us. Type 80211
<id148> #2->#2. Wnd[3600000-3750000]us. Type ESENSOR
<id151> #2->#2. Wnd[3600000-3750100]us. Type ISENSOR
<id159> #2->#1. Wnd[3768402-3768535]us. Type 80211
<id159> #2->#1. Wnd[3768402-3768535]us. Type 80211
<id160> #2->#3. Wnd[3769406-3769539]us. Type 80211
<id160> #2->#3. Wnd[3769406-3769539]us. Type 80211
<id149> #3->#3. Wnd[3600000-3825000]us. Type ESENSOR
<id152> #3->#3. Wnd[3600000-3825100]us. Type ISENSOR
<id161> #3->#1. Wnd[3855445-3855578]us. Type 80211
<id161> #3->#1. Wnd[3855445-3855578]us. Type 80211
<id162> #3->#2. Wnd[3856445-3856578]us. Type 80211
<id162> #3->#2. Wnd[3856445-3856578]us. Type 80211
<id163> #2->#1. Wnd[3888408-3888541]us. Type 80211
<id163> #2->#1. Wnd[3888408-3888541]us. Type 80211
<id164> #2->#3. Wnd[3889403-3889536]us. Type 80211
<id164> #2->#3. Wnd[3889403-3889536]us. Type 80211
<id165> #1->#1. Wnd[3900000-3975000]us. Type ESENSOR
<id168> #1->#1. Wnd[3900000-3975100]us. Type ISENSOR
<id171> #3->#1. Wnd[3975445-3975578]us. Type 80211
<id171> #3->#1. Wnd[3975445-3975578]us. Type 80211
<id172> #3->#2. Wnd[3976441-3976574]us. Type 80211
<id172> #3->#2. Wnd[3976441-3976574]us. Type 80211
<id173> #2->#1. Wnd[4008405-4008538]us. Type 80211
<id173> #2->#1. Wnd[4008405-4008538]us. Type 80211
<id174> #2->#3. Wnd[4009405-4009538]us. Type 80211
<id174> #2->#3. Wnd[4009405-4009538]us. Type 80211
<id166> #2->#2. Wnd[3900000-4050000]us. Type ESENSOR
<id169> #2->#2. Wnd[3900000-4050100]us. Type ISENSOR
<id175> #3->#1. Wnd[4095441-4095574]us. Type 80211
<id175> #3->#1. Wnd[4095441-4095574]us. Type 80211
<id176> #3->#2. Wnd[4096442-4096575]us. Type 80211
<id176> #3->#2. Wnd[4096442-4096575]us. Type 80211
<id167> #3->#3. Wnd[3900000-4125000]us. Type ESENSOR
<id170> #3->#3. Wnd[3900000-4125100]us. Type ISENSOR
<id177> #2->#1. Wnd[4128406-4128539]us. Type 80211
<id177> #2->#1. Wnd[4128406-4128539]us. Type 80211
<id178> #2->#3. Wnd[4129409-4129542]us. Type 80211
<id178> #2->#3. Wnd[4129409-4129542]us. Type 80211
<id179> #1->#1. Wnd[4200000-4275000]us. Type ESENSOR
<id182> #1->#1. Wnd[4200000-4275100]us. Type ISENSOR
<id180> #2->#2. Wnd[4200000-4350000]us. Type ESENSOR
<id183> #2->#2. Wnd[4200000-4350100]us. Type ISENSOR
<id181> #3->#3. Wnd[4200000-4425000]us. Type ESENSOR
<id184> #3->#3. Wnd[4200000-4425100]us. Type ISENSOR
<id185> #1->#1. Wnd[4500000-4575000]us. Type ESENSOR
<id188> #1->#1. Wnd[4500000-4575100]us. Type ISENSOR
<id186> #2->#2. Wnd[4500000-4650000]us. Type ESENSOR
<id189> #2->#2. Wnd[4500000-4650100]us. Type ISENSOR
<id187> #3->#3. Wnd[4500000-4725000]us. Type ESENSOR
<id190> #3->#3. Wnd[4500000-4725100]us. Type ISENSOR
<id191> #1->#1. Wnd[4800000-4875000]us. Type ESENSOR
<id194> #1->#1. Wnd[4800000-4875100]us. Type ISENSOR
<id192> #2->#2. Wnd[4800000-4950000]us. Type ESENSOR
<id195> #2->#2. Wnd[4800000-4950100]us. Type ISENSOR
<id193> #3->#3. Wnd[4800000-5025000]us. Type ESENSOR
<id196> #3->#3. Wnd[4800000-5025100]us. Type ISENSOR
<id197> #1->#1. Wnd[5100000-5175000]us. Type ESENSOR
<id200> #1->#1. Wnd[5100000-5175100]us. Type ISENSOR
<id198> #2->#2. Wnd[5100000-5250000]us. Type ESENSOR
<id201> #2->#2. Wnd[5100000-5250100]us. Type ISENSOR
<id199> #3->#3. Wnd[5100000-5325000]us. Type ESENSOR
<id202> #3->#3. Wnd[5100000-5325100]us. Type ISENSOR
<id203> #1->#1. Wnd[5400000-5475000]us. Type ESENSOR
<id206> #1->#1. Wnd[5400000-5475100]us. Type ISENSOR
<id204> #2->#2. Wnd[5400000-5550000]us. Type ESENSOR
<id207> #2->#2. Wnd[5400000-5550100]us. Type ISENSOR
<id205> #3->#3. Wnd[5400000-5625000]us. Type ESENSOR
<id208> #3->#3. Wnd[5400000-5625100]us. Type ISENSOR
